X,Y,fid,codi_centre,tipus_centre,nom_centre,nom_municipi,nom_naturalesa,al_eso_n1,al_eso_n2,al_eso_n3,al_eso_n4,gr_eso_n1,gr_eso_n2,gr_eso_n3,gr_eso_n4,icon_url
1.09313990240188,41.1626187545519,1068,"43002570",Institut,Gaudí,Reus,Públic,83,105,123,118,3,4,4,4,./0.png
1.10799666676909,41.1519321026434,1069,"43002582",Institut,Salvador Vilaseca,Reus,Públic,111,109,119,121,4,4,4,4,./0.png
1.10433085819776,41.1554767958238,1070,"43002594",Institut,Baix Camp,Reus,Públic,118,124,156,129,4,4,5,4,./0.png
0.592753485248879,40.6206608476182,1071,"43002958",,Sagrada Família,Sant Carles de la Ràpita,Privat,27,25,29,24,1,1,1,1,./0.png
1.19319634956545,41.1234339149137,1072,"43003151",,Joan XXIII,Tarragona,Privat,92,96,94,93,3,3,3,3,./0.png
1.24830670913117,41.1162845191793,1073,"43003410",,Joan Roig,Tarragona,Privat,23,24,30,29,1,1,1,1,./0.png
1.25929363170563,41.1195006562408,1074,"43003483",,Lestonnac-l'Ensenyança,Tarragona,Privat,52,56,61,64,2,2,2,2,./0.png
1.24929624602024,41.1183763587638,1075,"43003495",,Mare de Déu del Carme,Tarragona,Privat,79,86,90,95,3,3,3,3,./0.png
1.24716082165061,41.1105728632999,1076,"43003501",,El Carme,Tarragona,Privat,53,49,60,63,2,2,2,2,./0.png
1.25054494424744,41.1190065095691,1077,"43003525",,Dominiques Tarragona,Tarragona,Privat,43,54,58,60,2,2,2,2,./0.png
1.24508058865767,41.1335555716468,1078,"43003537",,La Salle,Tarragona,Privat,99,96,97,90,3,3,3,3,./0.png
1.24842257693995,41.1207270761402,1079,"43003549",,Vedruna Sagrat Cor Tarragona,Tarragona,Privat,63,57,67,63,2,2,2,2,./0.png
1.25145971614812,41.1164322443373,1080,"43003550",,Santa Teresa de Jesús,Tarragona,Privat,55,59,63,59,2,2,2,2,./0.png
1.25765783616717,41.1213925888845,1081,"43003586",,Sant Pau Apòstol,Tarragona,Privat,83,88,86,92,3,3,3,3,./0.png
1.24135229304043,41.1191764749317,1082,"43003641",Institut,Antoni de Martí i Franquès,Tarragona,Públic,151,182,217,218,5,6,7,7,./0.png
